Handle,Data center,Date,Chip type,Number of Units,Chip type source,Number of Units source,Owner,User,Notes,Created By,Created,Last Modified By,Last Modified
H200 at Colossus 1 on 2025-07-22T00:00:00.000Z,Colossus 1,2025-07-22,H200,50000,Company disclosure,Company disclosure,SpaceXAI #confident,SpaceXAI #confident,"This is roughly when Musk [said](https://archive.is/z39uN), plus on this date they [reported](https://x.ai/colossus) ""running jobs with 150K+ GPUs"".",Ben Cottier,2026-03-02T15:11:08.000Z,Epoch AI,2026-05-16 10:30:41+00:00
B200 at Colossus 1 on 2025-07-22T00:00:00.000Z,Colossus 1,2025-07-22,B200,30000,Company disclosure,Company disclosure,SpaceXAI #confident,SpaceXAI #confident,[30k B200s added](https://archive.is/oHQSA) (in GB200 configuration).,Ben Cottier,2026-03-02T15:12:00.000Z,Epoch AI,2026-05-16 10:30:41+00:00
TPU v6e at Google Red Oak on 2025-08-25T00:00:00.000Z,Google Red Oak,2025-08-25,TPU v6e,87420,Estimate,Estimate,,,"Building 1 (Q4 FY25 production mix). Chip type and quantity derived from Timeline power, TPU production shares, and per-chip TDP.",Epoch AI,2026-05-19T03:13:01.000Z,Epoch AI,2026-05-19 03:13:01+00:00
TPU v7 at Google Red Oak on 2025-08-25T00:00:00.000Z,Google Red Oak,2025-08-25,TPU v7,11535,Estimate,Estimate,,,"Building 1 (Q4 FY25 production mix). Chip type and quantity derived from Timeline power, TPU production shares, and per-chip TDP.",Epoch AI,2026-05-19T03:13:02.000Z,Epoch AI,2026-05-19 03:13:02+00:00
B200 at Microsoft Goodyear on 2025-09-01T00:00:00.000Z,Microsoft Goodyear,2025-09-01,B200,58121,Estimate,Estimate,Microsoft #confident,Microsoft #confident,"GB200 NVL72 assumed from operational date (Q3 2025) and insufficient cooling for B200 power density. Count = 2 buildings × chips per building, from chiller-based IT capacity / server power × 72.",Epoch AI,2026-04-02T19:44:29.000Z,Epoch AI,2026-05-16 10:29:36+00:00
TPU v6e at Google Waltham Cross on 2025-09-01T00:00:00.000Z,Google Waltham Cross,2025-09-01,TPU v6e,100038,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Full buildout (2025-09-01, 88.3 MW IT power). Operational status confirmed via Sentinel-2 imagery (building complete, cars in car park) and Google's official blog post announcing the site. Q4 FY25 mix (TPU v6e 75%, TPU v7 25%) per TPU_Production — a real, non-extrapolated quarter. Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP. Reconfirmed via high-resolution imagery in April 2026 with no additional capacity added.",Epoch AI,2026-07-03T14:03:39.000Z,Epoch AI,2026-07-06 12:53:46+00:00
TPU v7 at Google Waltham Cross on 2025-09-01T00:00:00.000Z,Google Waltham Cross,2025-09-01,TPU v7,13200,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Full buildout (2025-09-01, 88.3 MW IT power). Operational status confirmed via Sentinel-2 imagery (building complete, cars in car park) and Google's official blog post announcing the site. Q4 FY25 mix (TPU v6e 75%, TPU v7 25%) per TPU_Production — a real, non-extrapolated quarter. Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP. Reconfirmed via high-resolution imagery in April 2026 with no additional capacity added.",Epoch AI,2026-07-03T14:03:39.000Z,Epoch AI,2026-07-06 12:53:46+00:00
Trainium2 at AWS Berwick PA on 2025-09-09T00:00:00.000Z,AWS Berwick PA,2025-09-09,Trainium2,72559,Estimate,Estimate,Amazon #confident,,No Berwick-specific chip disclosure found. Building 1 quantity is estimated from modeled IT power using the same Trainium2 chips-per-IT-MW assumption as AWS New Albany.,Epoch AI,2026-06-30T19:32:49.000Z,Epoch AI,2026-06-30 19:32:49+00:00
B200 at OpenAI Stargate Abilene on 2025-09-26T00:00:00.000Z,OpenAI Stargate Abilene,2025-09-26,B200,100800,Company disclosure,Company disclosure,Oracle #confident,OpenAI #confident,"[Crusoe Impact Report 2024, p.19](https://cdn.prod.website-files.com/6855c1aa175582ee23e0aa19/68710273a71bb7c11049ba28_Crusoe_Impact_Report_2024.pdf#page=19)",Epoch AI,2026-03-03T20:35:37.000Z,Epoch AI,2026-05-16 10:28:24+00:00
B200 at Fluidstack Lake Mariner on 2025-10-01T00:00:00.000Z,Fluidstack Lake Mariner,2025-10-01,B200,7852,Estimate,Estimate,Core42 #confident,G42 #likely,"Chip type could be H200, but given the timing and use of liquid cooling, probably B200. [TeraWulf press release](https://investors.terawulf.com/news-events/press-releases/detail/99/terawulf-to-deliver-over-70-mw-of-data-center)",Epoch AI,2026-03-05T20:57:19.000Z,Epoch AI,2026-06-18 05:41:51+00:00
TPU v6e at Google Columbus on 2025-10-01T00:00:00.000Z,Google Columbus,2025-10-01,TPU v6e,176600,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Cumulative through Building 3 (Q4 FY25 mix for new capacity). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-07T01:39:12.000Z,Epoch AI,2026-05-16 10:31:51+00:00
TPU v7 at Google Columbus on 2025-10-01T00:00:00.000Z,Google Columbus,2025-10-01,TPU v7,12945,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 3 (Q4 FY25 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-07T01:39:12.000Z,Epoch AI,2026-05-16 10:31:51+00:00
TPU v6e at Google New Albany on 2025-10-14T00:00:00.000Z,Google New Albany,2025-10-14,TPU v6e,262285,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Cumulative through Building 4 (Q4 FY25 mix for new capacity). Chip type and quantity derived from Timeline power, TPU_Production shares, and per-chip TDP from Parameters.",Epoch AI,2026-03-02T22:35:34.000Z,Epoch AI,2026-05-16 10:29:32+00:00
TPU v7 at Google New Albany on 2025-10-14T00:00:00.000Z,Google New Albany,2025-10-14,TPU v7,16920,Estimate,Estimate,Google #confident,Google DeepMind #likely,"First deployed in Building 4 (Q4 FY25 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and per-chip TDP from Parameters.",Epoch AI,2026-03-12T20:14:31.000Z,Epoch AI,2026-05-16 10:29:33+00:00
B200 at Microsoft Fairwater Atlanta on 2025-10-14T00:00:00.000Z,Microsoft Fairwater Atlanta,2025-10-14,B200,153563,Estimate,Estimate,Microsoft #confident,Microsoft #confident,GB200 NVL72 assumed from similarity to Microsoft Fairwater Wisconsin. Count = (Building 2/4 + Building 1 facility power) / PUE / IT overhead / server power × 72. Buildings 1-2 operational (paired Fairwater design).,Epoch AI,2026-04-02T19:44:27.000Z,Epoch AI,2026-05-16 10:30:37+00:00
B200 at Meta Prometheus on 2025-10-14T00:00:00.000Z,Meta Prometheus,2025-10-14,B200,27972,Estimate,Estimate,Meta #confident,Meta #confident,"Buildings 4-10 come online. B200 count = (total power at this date minus H-shaped buildings power) / (PUE × IT overhead × GB200 server power) × 72. Includes Meta, QTS, and Vantage buildings.",Epoch AI,2026-04-02T19:46:42.000Z,Epoch AI,2026-05-16 10:34:42+00:00
B200 at  on 2025-10-19T00:00:00.000Z,,2025-10-19,B200,110000,Company disclosure,Company disclosure,SpaceXAI #confident,SpaceXAI #confident,[xAI Memphis announcement](https://x.com/xAIMemphis/status/1947724711968051414),Epoch AI,2026-05-22T01:50:50.000Z,Siyuan Du,2026-05-27 13:45:10+00:00
B200 at  on 2025-10-19T00:00:00.000Z,,2025-10-19,B200,110000,Company disclosure,Company disclosure,SpaceXAI #confident,SpaceXAI #confident,[xAI Memphis announcement](https://x.com/xAIMemphis/status/1947724711968051414),Epoch AI,2026-05-22T01:52:38.000Z,Siyuan Du,2026-05-27 13:45:10+00:00
B200 at Colossus 2 on 2025-10-19T00:00:00.000Z,Colossus 2,2025-10-19,B200,110000,Company disclosure,Company disclosure,SpaceXAI #confident,SpaceXAI #confident,[xAI Memphis announcement](https://x.com/xAIMemphis/status/1947724711968051414),Epoch AI,2026-05-24T17:53:05.000Z,Epoch AI,2026-05-24 17:53:05+00:00
B200 at CoreWeave Ellendale ND on 2025-10-27T00:00:00.000Z,CoreWeave Ellendale ND,2025-10-27,B200,27300,Estimate,Estimate,CoreWeave #confident,,First operational chip-count row. Applied Digital announced the first 50 MW phase of PF1 Building 1 reached Ready for Service on this date. Chip count is estimated as 50 MW × 546 B200/MW.,Epoch AI,2026-05-27T18:14:03.000Z,Epoch AI,2026-07-01 20:02:57+00:00
TPU v7 at Google Lancaster on 2025-10-31T00:00:00.000Z,Google Lancaster,2025-10-31,TPU v7,10228,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 2 (Q4 FY25 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-29T17:12:42.000Z,Epoch AI,2026-05-29 17:12:42+00:00
TPU v6e at Google Lancaster on 2025-10-31T00:00:00.000Z,Google Lancaster,2025-10-31,TPU v6e,77519,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 2 (Q4 FY25 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-29T17:12:42.000Z,Epoch AI,2026-05-29 17:12:42+00:00
Trainium2 at AWS Berwick PA on 2025-10-31T00:00:00.000Z,AWS Berwick PA,2025-10-31,Trainium2,107588,Estimate,Estimate,Amazon #confident,,Building 2 is added to the operational estimate after September imagery showed it nearly complete and final generators being installed.,Epoch AI,2026-06-30T19:32:49.000Z,Epoch AI,2026-06-30 19:32:49+00:00
Ascend 910C at VNET Bayin Ulanqab on 2025-11-01T00:00:00.000Z,VNET Bayin Ulanqab,2025-11-01,Ascend 910C,121112,Estimate,Estimate,VNET #confident,ByteDance #speculative,"Ascend 910C is assumed based on it being the best and most-produced domestic chip at the time. Speculative to likely on User, given general partnership between VNET and ByteDance.",Epoch AI,2026-05-14T15:52:51.000Z,Epoch AI,2026-06-18 23:39:18+00:00
B200 at CoreWeave Ellendale ND on 2025-11-24T00:00:00.000Z,CoreWeave Ellendale ND,2025-11-24,B200,37000,Estimate,Estimate,CoreWeave #confident,,"Building 1 reached full service on this date, but the chip count uses the sheet's cooling-based modeled Building 1 IT load of 67.7 MW instead of the officially disclosed 100 MW critical IT load.",Epoch AI,2026-05-27T18:14:04.000Z,Epoch AI,2026-07-01 20:02:58+00:00
Ascend 910C at VNET Bayin Ulanqab on 2025-12-01T00:00:00.000Z,VNET Bayin Ulanqab,2025-12-01,Ascend 910C,156888,Estimate,Estimate,VNET #confident,ByteDance #speculative,"Ascend 910C is assumed based on it being the best and most-produced domestic chip at the time. Speculative to likely on User, given general partnership between VNET and ByteDance.",Epoch AI,2026-05-14T15:52:52.000Z,Epoch AI,2026-06-18 23:39:19+00:00
B300 at Microsoft SAT40 on 2025-12-01T00:00:00.000Z,Microsoft SAT40,2025-12-01,B300,12750,Estimate,Estimate,Microsoft #confident,,Type estimated based on chip sales data. # of units estimated based on power for Building 2.,Epoch AI,2026-05-18T17:53:20.000Z,Epoch AI,2026-05-19 15:12:24+00:00
B300 at Meta Temple on 2025-12-09T00:00:00.000Z,Meta Temple,2025-12-09,B300,68571,Estimate,Estimate,Meta #confident,Meta #confident,"GB300 NVL72 assumed from commissioning timeline (Q3-Q4 2025, when GB300 shipments exceeded GB200). Count = (Building 1 + Building 2 IT capacity) / IT overhead / server power × 72.",Epoch AI,2026-04-02T19:45:38.000Z,Epoch AI,2026-05-16 10:32:56+00:00
Trainium2 at Anthropic-Amazon New Carlisle on 2025-12-23T00:00:00.000Z,Anthropic-Amazon New Carlisle,2025-12-23,Trainium2,718000,Company disclosure,Estimate,Amazon #confident,Anthropic #confident,11 buildings operational. Same per-building model as above.,Epoch AI,2026-04-02T19:44:26.000Z,Epoch AI,2026-05-28 22:34:46+00:00
B200 at CoreWeave Denton TX on 2025-12-31T00:00:00.000Z,CoreWeave Denton TX,2025-12-31,B200,16000,Estimate,Estimate,CoreWeave #confident,OpenAI #likely,"Data Center Dynamics, citing The Information/internal comms, says Denton had more than 16,000 GPUs by the end of Dec 2025. I'm assuming they're Grace Blackwell GPUS based on later information. Use as minimum. (Data Center Dynamics)",Epoch AI,2026-05-14T15:54:00.000Z,Epoch AI,2026-05-16 10:34:07+00:00
B300 at DayOne Nusajaya on 2026-01-22T00:00:00.000Z,DayOne Nusajaya,2026-01-22,B300,97870,Estimate,Estimate,"ByteDance #likely, Oracle #likely",,"B300 based on the timing of total chip sales in the prior quarter (https://epoch.ai/data/ai-chip-sales), plus DayOne's partnership with NVIDIA (they mention using GB200 here: https://dayonedc.com/our-solutions). ByteDance likely: https://asiatimes.com/2026/03/nvidia-chip-curbs-turn-singapore-into-ai-hub-for-china/, https://english.cw.com.tw/article/article.action?id=4385. Oracle likely: https://newsletter.semianalysis.com/p/how-oracle-is-winning-the-ai-compute-market",Epoch AI,2026-05-08T22:23:32.000Z,Epoch AI,2026-05-16 10:30:43+00:00
B200 at Vantage TX1 on 2026-02-15T00:00:00.000Z,Vantage TX1,2026-02-15,B200,15311,Estimate,Estimate,,,GB200 NVL72 assumed. Building 1 reported IT power of 32 MW (TDLR). Count = IT power / (IT overhead × server power) × 72.,Epoch AI,2026-04-02T19:46:49.000Z,Epoch AI,2026-04-02 19:46:49+00:00
B300 at CoreWeave Dalton 1 & 2 on 2026-02-20T00:00:00.000Z,CoreWeave Dalton 1 & 2,2026-02-20,B300,12750,Estimate,Estimate,CoreWeave #confident,,,Epoch AI,2026-06-30T18:40:16.000Z,Epoch AI,2026-06-30 18:40:16+00:00
B300 at Meta Sarpy County on 2026-02-22T00:00:00.000Z,Meta Sarpy County,2026-02-22,B300,36300,Estimate,Estimate,Meta #confident,Meta #confident,GB300 NVL72 assumed from commissioning timeline and estimates from https://epoch.ai/data/ai-chip-owners . Count = Total IT power / IT overhead / server power x 72.,Epoch AI,2026-06-10T18:58:55.000Z,Epoch AI,2026-06-18 05:41:53+00:00
B200 at Meta Prometheus on 2026-02-27T00:00:00.000Z,Meta Prometheus,2026-02-27,B200,150279,Estimate,Estimate,Meta #confident,Meta #confident,"Adds Building 16 (Vantage). Same model, updated total power.",Epoch AI,2026-04-02T19:46:42.000Z,Epoch AI,2026-05-16 10:34:42+00:00
B300 at Meta Los Lunas on 2026-03-01T00:00:00.000Z,Meta Los Lunas,2026-03-01,B300,39453,Estimate,Estimate,Meta #confident,Meta #confident,GB300 NVL72 assumed from commissioning timeline and estimates from https://epoch.ai/data/ai-chip-owners . Count = Total IT power / IT overhead / server power x 72.,Epoch AI,2026-06-16T19:18:15.000Z,Epoch AI,2026-06-16 21:07:59+00:00
B200 at CoreWeave Denton TX on 2026-03-02T00:00:00.000Z,CoreWeave Denton TX,2026-03-02,B200,50000,Company disclosure,Company disclosure,CoreWeave #confident,OpenAI #likely,"Core Scientific's Q4 2025 report said Denton was at roughly 130 billable MW and actively supporting more than 50,000 Grace Blackwell GPUs. Use as minimum. (MarketBeat)",Epoch AI,2026-05-14T15:54:00.000Z,Epoch AI,2026-05-16 10:34:07+00:00
B300 at Meta Jeffersonville on 2026-03-06T00:00:00.000Z,Meta Jeffersonville,2026-03-06,B300,80486,Estimate,Estimate,Meta #confident,Meta #confident,GB300 NVL72 assumed from commissioning timeline and estimates from https://epoch.ai/data/ai-chip-owners. Count = Total IT power / IT overhead / server power x 72.,Epoch AI,2026-05-26T23:31:19.000Z,Epoch AI,2026-06-04 21:40:13+00:00
Trainium2 at AWS New Albany on 2026-03-12T00:00:00.000Z,AWS New Albany,2026-03-12,Trainium2,618539,Estimate,Calculations,Amazon #confident,AWS #confident,Quantity updated because satellite imagery increases modeled operational count to 12 buildings. Unit count references Calculations March 2026 12-building Trainium2 unit count.,Epoch AI,2026-06-25T21:22:08.000Z,Epoch AI,2026-06-25 21:22:08+00:00
B200 at CoreWeave Marble NC on 2026-03-13T00:00:00.000Z,CoreWeave Marble NC,2026-03-13,B200,17200,Estimate,Estimate,CoreWeave #confident,,Core Scientific reported 37 MW operational and billing at Marble as of March 2026. Chip type and count are not disclosed for Marble. Estimate assumes GB200 NVL72 racks with 72 Blackwell GPUs per rack and 0.132 MW per rack. (Supplemental Core Scientific Information),Epoch AI,2026-05-08T21:06:19.000Z,Epoch AI,2026-06-05 00:45:56+00:00
Trainium2 at Anthropic-Amazon New Carlisle on 2026-03-23T00:00:00.000Z,Anthropic-Amazon New Carlisle,2026-03-23,Trainium2,1040000,Company disclosure,Estimate,Amazon #confident,Anthropic #confident,"16 buildings operational. Same model. In an [interview](https://www.youtube.com/watch?v=jwgW_gHI1Vs&t=220s), AWS CEO says ""we expect jointly we'll be running more than a million Trainium2 chips [in Indiana] by the end of [2025]"". We think this was delayed by a few months based on our satellite imagery.",Epoch AI,2026-04-02T19:44:26.000Z,Epoch AI,2026-05-28 22:34:46+00:00
B200 at Fluidstack Lake Mariner on 2026-03-31T00:00:00.000Z,Fluidstack Lake Mariner,2026-03-31,B200,28463,Estimate,Estimate,Core42 #confident,G42 #likely,"Chip type could be H200, but given the timing and use of liquid cooling, probably B200. [TeraWulf press release](https://investors.terawulf.com/news-events/press-releases/detail/99/terawulf-to-deliver-over-70-mw-of-data-center)",Epoch AI,2026-03-05T20:57:19.000Z,Epoch AI,2026-06-18 05:41:51+00:00
B300 at Start Campus Sines Data Campus on 2026-03-31T00:00:00.000Z,Start Campus Sines Data Campus,2026-03-31,B300,12600,Company disclosure,Company disclosure,Nscale #confident,Microsoft #confident,First deployment set to go live by Q1 2026 according to [announcement](https://lp.startcampus.pt/start-campus-hosts-eus-first-nvidia-gb300-chips-with-nscale-for-microsoft).,Epoch AI,2026-04-20T21:59:34.000Z,Epoch AI,2026-05-16 10:34:05+00:00
B300 at Microsoft SAT14 on 2026-03-31T00:00:00.000Z,Microsoft SAT14,2026-03-31,B300,12750,Estimate,Estimate,Microsoft #confident,,Type estimated based on chip sales data. # of units estimated based on power for Building 2 and the rest of Building 1 that was completed since initial operation.,Epoch AI,2026-05-18T17:04:14.000Z,Epoch AI,2026-05-19 15:12:19+00:00
B300 at  on 2026-04-06T00:00:00.000Z,,2026-04-06,B300,110000,Company disclosure,Company disclosure,SpaceXAI #confident,SpaceXAI #confident,"[Company S-1 filing, page 76](https://www.sec.gov/Archives/edgar/data/1181412/000162828026036936/spaceexplorationtechnologi.htm)",Epoch AI,2026-05-22T01:50:51.000Z,Siyuan Du,2026-05-27 13:45:10+00:00
B300 at  on 2026-04-06T00:00:00.000Z,,2026-04-06,B300,110000,Company disclosure,Company disclosure,SpaceXAI #confident,SpaceXAI #confident,"[Company S-1 filing, page 76](https://www.sec.gov/Archives/edgar/data/1181412/000162828026036936/spaceexplorationtechnologi.htm)",Epoch AI,2026-05-22T01:52:39.000Z,Siyuan Du,2026-05-27 13:45:10+00:00
B300 at Colossus 2 on 2026-04-06T00:00:00.000Z,Colossus 2,2026-04-06,B300,110000,Company disclosure,Company disclosure,SpaceXAI #confident,SpaceXAI #confident,"[Company S-1 filing, page 76](https://www.sec.gov/Archives/edgar/data/1181412/000162828026036936/spaceexplorationtechnologi.htm)",Epoch AI,2026-05-24T17:53:06.000Z,Epoch AI,2026-05-24 17:53:06+00:00
B200 at Microsoft Fairwater Wisconsin on 2026-04-16T00:00:00.000Z,Microsoft Fairwater Wisconsin,2026-04-16,B200,221184,Company disclosure,Estimate,Microsoft #confident,Microsoft #confident,"GB200 NVL72 confirmed by Microsoft ([blog post](https://blogs.microsoft.com/blog/2025/09/18/inside-the-worlds-most-powerful-ai-datacenter/)). Building 1. Count based on blueprint analysis: 2 stories × 128 rack rows × 12 GPU racks per row × 72 chips. This is also consistent with ""hundreds of thousands of NVIDIA GB200s"" ([Satya Nadella](https://x.com/satyanadella/status/1968677244861379012)).",Epoch AI,2026-04-17T22:18:05.000Z,Ben Cottier,2026-05-19 19:46:37+00:00
B200 at  on 2026-04-16T00:00:00.000Z,,2026-04-16,B200,221184,Company disclosure,Estimate,Microsoft #confident,Microsoft #confident,"GB200 NVL72 confirmed by Microsoft ([blog post](https://blogs.microsoft.com/blog/2025/09/18/inside-the-worlds-most-powerful-ai-datacenter/)). Building 1. Count based on blueprint analysis: 2 stories × 128 rack rows × 12 GPU racks per row × 72 chips. This is also consistent with ""hundreds of thousands of NVIDIA GB200s"" ([Satya Nadella](https://x.com/satyanadella/status/1968677244861379012)).",Epoch AI,2026-05-19T20:42:25.000Z,Ben Cottier,2026-05-20 19:58:52+00:00
B300 at Oracle Batam on 2026-04-17T00:00:00.000Z,Oracle Batam,2026-04-17,B300,17397,Estimate,Estimate,Oracle #likely,,"Estimated from power capacity. DayOne partners with NVIDIA, and these are the best wide-sold chips available at the time. In a [LinkedIn post](https://www.linkedin.com/posts/digitaltransformation-datacenter-ugcPost-7264614420276744194-aQSa/) DayOne said it ""signed a contract with a leading global tech company in Q3 [2024] for 34 MW committed and 38 MW reserved capacity at our Batam campus."" A partnership with Oracle specifically was later [reported](https://www.datacenterdynamics.com/en/news/oracle-establishes-cloud-presence-in-indonesia/), and 38 MW corresponds to the third data center building. We assume Oracle has used their reservation by this point, but this is not confirmed.",Epoch AI,2026-05-06T14:56:02.000Z,Epoch AI,2026-05-16 10:28:25+00:00
H100 at Stream Phoenix on 2026-05-01T00:00:00.000Z,Stream Phoenix,2026-05-01,H100,46112,Estimate,Estimate,,,"This is for building 1; the shell is complete, and it should be operational as of this date.  H100 stub retained but no count available.",Epoch AI,2026-04-08T22:17:52.000Z,Epoch AI,2026-04-08 22:17:52+00:00
B200 at CoreWeave Marble NC on 2026-05-06T00:00:00.000Z,CoreWeave Marble NC,2026-05-06,B200,31100,Estimate,Estimate,CoreWeave #confident,,Core Scientific reported Marble as fully handed over to CoreWeave at about 65 MW of leased customer power. Chip type and count are not disclosed for Marble. Estimate assumes GB200 NVL72 racks with 72 Blackwell GPUs per rack and 0.132 MW per rack. (Core Scientific Fiscal Q1 2026 Earnings Call),Epoch AI,2026-05-08T21:06:19.000Z,Epoch AI,2026-06-05 00:45:56+00:00
Trainium2 at Amazon Ridgeland on 2026-05-15T00:00:00.000Z,Amazon Ridgeland,2026-05-15,Trainium2,261244,Estimate,Estimate,Amazon #confident,Amazon #confident,"Chip type assumed from Project Rainier announcement (Trainium2). 4 buildings (type 1, 26 generators each) operational. Count = buildings × chips per building, where chips per building = generator-based power / (PUE × IT overhead × chip TDP).",Epoch AI,2026-06-30T21:32:01.000Z,Epoch AI,2026-06-30 21:32:01+00:00
B200 at Meta Prometheus on 2026-05-18T00:00:00.000Z,Meta Prometheus,2026-05-18,B200,206902,Estimate,Estimate,Meta #confident,Meta #confident,"Adds Meta tent buildings 11-15. Same model, updated total power.",Epoch AI,2026-04-02T19:46:43.000Z,Epoch AI,2026-05-16 10:34:42+00:00
